timestamp,timestamp,duration(sec),fixture,demand(gpm),duration(min)
2007-07-18 03:29:06,2007-07-18 03:29:06,72,CW,3.062,1.2
2007-07-18 06:33:48,2007-07-18 06:33:48,90,Kitchen Sink,0.03791931710896157,1.5
2007-07-18 07:03:24,2007-07-18 07:03:24,36,Sink 3,1.1115564525077952,0.6
2007-07-18 07:57:48,2007-07-18 07:57:48,78,Sink 3,0.2922017965455275,1.3
2007-07-18 07:59:48,2007-07-18 07:59:48,18,Kitchen Sink,1.1963172789866503,0.3
2007-07-18 08:36:18,2007-07-18 08:36:18,6,Kitchen Sink,0.01263977236965386,0.1
2007-07-18 08:38:18,2007-07-18 08:38:18,66,Kitchen Sink,0.5234352793080186,1.1
2007-07-18 08:40:12,2007-07-18 08:40:12,6,Sink 2,0.5769684328736114,0.1
2007-07-18 10:57:06,2007-07-18 10:57:06,6,Kitchen Sink,0.7673085344401637,0.1
2007-07-18 10:59:18,2007-07-18 10:59:18,6,Kitchen Sink,1.2268014358781685,0.1
2007-07-18 11:01:12,2007-07-18 11:01:12,60,Kitchen Sink,1.093712067985931,1.0
2007-07-18 11:03:12,2007-07-18 11:03:12,42,Kitchen Sink,1.0386918823768494,0.7
2007-07-18 12:35:36,2007-07-18 12:35:36,36,Kitchen Sink,0.7591298582009758,0.6
2007-07-18 14:29:24,2007-07-18 14:29:24,6,Kitchen Sink,0.053533153565592816,0.1
2007-07-18 14:44:48,2007-07-18 14:44:48,42,Kitchen Sink,0.28253608826285104,0.7
2007-07-18 15:53:48,2007-07-18 15:53:48,60,Kitchen Sink,0.9621097321371821,1.0
2007-07-18 18:42:36,2007-07-18 18:42:36,18,Sink 2,0.7293892173312021,0.3
2007-07-18 18:44:36,2007-07-18 18:44:36,36,Kitchen Sink,0.27956202417587356,0.6
2007-07-18 19:41:36,2007-07-18 19:41:36,24,Sink 2,0.8944497741584466,0.4
2007-07-18 19:43:30,2007-07-18 19:43:30,12,Kitchen Sink,0.9948244370939332,0.2
2007-07-18 19:48:18,2007-07-18 19:48:18,6,Kitchen Sink,0.0029740640869773786,0.1
2007-07-18 20:26:18,2007-07-18 20:26:18,48,Kitchen Sink,0.8959368062019353,0.8
2007-07-18 20:28:12,2007-07-18 20:28:12,6,Kitchen Sink,0.6594987112872337,0.1
2007-07-18 20:30:12,2007-07-18 20:30:12,6,Kitchen Sink,0.28402312030633964,0.1
2007-07-18 20:30:42,2007-07-18 20:30:42,60,Kitchen Sink,0.6862652880700301,1.0
2007-07-18 20:32:06,2007-07-18 20:32:06,12,Kitchen Sink,1.393349024748902,0.2
2007-07-18 20:32:36,2007-07-18 20:32:36,72,Kitchen Sink,0.373245042915661,1.2
2007-07-18 20:34:00,2007-07-18 20:34:00,6,Kitchen Sink,0.8862710979192587,0.1
2007-07-18 21:59:42,2007-07-18 21:59:42,6,Kitchen Sink,0.021561964630585996,0.1
2007-07-18 22:49:48,2007-07-18 22:49:48,132,Kitchen Sink,0.03717580108721723,2.2
2007-07-18 22:51:48,2007-07-18 22:51:48,6,Sink 4,0.18885306952306352,0.1
2007-07-18 22:53:42,2007-07-18 22:53:42,36,Sink 2,0.3100461810673917,0.6
