# file...... ./glm_output/Meter_633_A_Power_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_A:measured_voltage_A,xfmr_meter_633_A_1:voltage_A,xfmr_meter_633_A_2:voltage_A,xfmr_meter_633_A_3:voltage_A,xfmr_meter_633_A_4:voltage_A,xfmr_meter_633_A_5:voltage_A
2021-12-25 00:00:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 00:15:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 00:30:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 00:45:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 01:00:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 01:15:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 01:30:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 01:45:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 02:00:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 02:15:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 02:30:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 02:45:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 03:00:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
2021-12-25 03:15:00 UTC,+2401.78-2.42868e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j,+2401.78-2.42899e-07j
