# file...... ./glm_output/Meter_633_C_Power_Best.csv
# date...... Thu Mar  2 18:06:31 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,meter_633_C:measured_voltage_C,xfmr_meter_633_C_1:voltage_C,xfmr_meter_633_C_2:voltage_C,xfmr_meter_633_C_3:voltage_C,xfmr_meter_633_C_4:voltage_C,xfmr_meter_633_C_5:voltage_C
2021-12-25 00:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 00:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 00:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 00:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 01:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 01:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 01:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 01:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 02:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 02:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 02:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 02:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 03:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 03:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 03:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 03:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 04:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 04:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 04:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 04:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 05:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 05:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 05:30:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 05:45:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 06:00:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
2021-12-25 06:15:00 UTC,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j,-1200.89+2080j
